role,cluster,role_cluster,champion,n_pick,share_cluster,share_role,lift
mid,1,mid_1,Azir,44,0.1014,0.1051,0.965
mid,1,mid_1,Viktor,28,0.0645,0.0763,0.845
mid,1,mid_1,Annie,19,0.0438,0.0523,0.838
mid,1,mid_1,Ryze,29,0.0668,0.0817,0.818
mid,1,mid_1,Orianna,23,0.053,0.0668,0.793
mid,2,mid_2,Tristana,13,0.0145,0.0107,1.354
mid,2,mid_2,Ryze,91,0.1013,0.0817,1.241
mid,2,mid_2,Orianna,66,0.0735,0.0668,1.1
mid,2,mid_2,Akali,31,0.0345,0.0324,1.067
mid,2,mid_2,Annie,50,0.0557,0.0523,1.065
mid,2,mid_2,Ahri,82,0.0913,0.0858,1.064
mid,2,mid_2,Corki,30,0.0334,0.0318,1.052
mid,2,mid_2,Galio,46,0.0512,0.0514,0.997
mid,2,mid_2,Viktor,68,0.0757,0.0763,0.992
mid,2,mid_2,Taliyah,116,0.1292,0.1339,0.965
mid,2,mid_2,Sylas,41,0.0457,0.0481,0.949
mid,2,mid_2,Azir,85,0.0947,0.1051,0.901
mid,2,mid_2,Yone,55,0.0612,0.0683,0.897
mid,2,mid_2,Aurora,52,0.0579,0.0665,0.871
mid,3,mid_3,Hwei,21,0.0349,0.0175,1.995
mid,3,mid_3,Corki,28,0.0466,0.0318,1.466
mid,3,mid_3,Azir,88,0.1464,0.1051,1.393
mid,3,mid_3,Viktor,58,0.0965,0.0763,1.265
mid,3,mid_3,Yone,51,0.0849,0.0683,1.243
mid,3,mid_3,Taliyah,77,0.1281,0.1339,0.957
mid,3,mid_3,Ryze,44,0.0732,0.0817,0.897
mid,3,mid_3,Aurora,35,0.0582,0.0665,0.876
mid,3,mid_3,Ahri,42,0.0699,0.0858,0.814
mid,3,mid_3,Orianna,31,0.0516,0.0668,0.772
mid,3,mid_3,Akali,15,0.025,0.0324,0.771
mid,3,mid_3,Sylas,21,0.0349,0.0481,0.726
mid,3,mid_3,Annie,21,0.0349,0.0523,0.669
mid,3,mid_3,Galio,15,0.025,0.0514,0.486
mid,4,mid_4,Aurora,31,0.0917,0.0665,1.379
mid,4,mid_4,Galio,23,0.068,0.0514,1.325
mid,4,mid_4,Akali,13,0.0385,0.0324,1.188
mid,4,mid_4,Sylas,19,0.0562,0.0481,1.169
mid,4,mid_4,Corki,12,0.0355,0.0318,1.118
mid,4,mid_4,Ahri,32,0.0947,0.0858,1.103
mid,4,mid_4,Azir,39,0.1154,0.1051,1.098
mid,4,mid_4,Annie,19,0.0562,0.0523,1.076
mid,4,mid_4,Orianna,21,0.0621,0.0668,0.93
mid,4,mid_4,Viktor,23,0.068,0.0763,0.892
mid,4,mid_4,Yone,20,0.0592,0.0683,0.866
mid,4,mid_4,Ryze,21,0.0621,0.0817,0.761
mid,4,mid_4,Taliyah,33,0.0976,0.1339,0.729
sup,0,sup_0,Rell,157,0.1612,0.1406,1.147
sup,0,sup_0,Nami,16,0.0164,0.0145,1.13
sup,0,sup_0,Nautilus,113,0.116,0.105,1.105
sup,0,sup_0,Braum,92,0.0945,0.0866,1.091
sup,0,sup_0,Alistar,151,0.155,0.1435,1.08
sup,0,sup_0,Karma,24,0.0246,0.0234,1.052
sup,0,sup_0,Leona,86,0.0883,0.0842,1.048
sup,0,sup_0,Poppy,32,0.0329,0.0347,0.947
sup,0,sup_0,Rakan,106,0.1088,0.1198,0.908
sup,0,sup_0,Renata Glasc,41,0.0421,0.0469,0.898
sup,0,sup_0,Neeko,58,0.0595,0.0777,0.766
sup,0,sup_0,Bard,19,0.0195,0.0311,0.626
sup,1,sup_1,Elise,18,0.0377,0.016,2.351
sup,1,sup_1,Lulu,14,0.0293,0.0139,2.101
sup,1,sup_1,Karma,16,0.0335,0.0234,1.429
sup,1,sup_1,Nautilus,69,0.1444,0.105,1.375
sup,1,sup_1,Leona,48,0.1004,0.0842,1.192
sup,1,sup_1,Renata Glasc,24,0.0502,0.0469,1.072
sup,1,sup_1,Alistar,72,0.1506,0.1435,1.049
sup,1,sup_1,Neeko,33,0.069,0.0777,0.889
sup,1,sup_1,Braum,34,0.0711,0.0866,0.821
sup,1,sup_1,Poppy,13,0.0272,0.0347,0.784
sup,1,sup_1,Rakan,42,0.0879,0.1198,0.733
sup,1,sup_1,Rell,48,0.1004,0.1406,0.714
sup,2,sup_2,Bard,45,0.0467,0.0311,1.499
sup,2,sup_2,Nami,19,0.0197,0.0145,1.356
sup,2,sup_2,Renata Glasc,55,0.0571,0.0469,1.218
sup,2,sup_2,Neeko,90,0.0934,0.0777,1.202
sup,2,sup_2,Poppy,39,0.0405,0.0347,1.166
sup,2,sup_2,Braum,91,0.0944,0.0866,1.09
sup,2,sup_2,Rakan,123,0.1276,0.1198,1.065
sup,2,sup_2,Nautilus,99,0.1027,0.105,0.978
sup,2,sup_2,Alistar,133,0.138,0.1435,0.961
sup,2,sup_2,Rell,122,0.1266,0.1406,0.9
sup,2,sup_2,Elise,12,0.0124,0.016,0.777
sup,2,sup_2,Leona,60,0.0622,0.0842,0.739
sup,2,sup_2,Karma,13,0.0135,0.0234,0.576
sup,3,sup_3,Bard,36,0.0377,0.0311,1.209
sup,3,sup_3,Rakan,133,0.1391,0.1198,1.161
sup,3,sup_3,Karma,26,0.0272,0.0234,1.161
sup,3,sup_3,Leona,90,0.0941,0.0842,1.118
sup,3,sup_3,Elise,17,0.0178,0.016,1.11
sup,3,sup_3,Rell,147,0.1538,0.1406,1.094
sup,3,sup_3,Neeko,81,0.0847,0.0777,1.09
sup,3,sup_3,Poppy,33,0.0345,0.0347,0.995
sup,3,sup_3,Alistar,128,0.1339,0.1435,0.933
sup,3,sup_3,Braum,75,0.0785,0.0866,0.906
sup,3,sup_3,Lulu,12,0.0126,0.0139,0.901
sup,3,sup_3,Renata Glasc,38,0.0397,0.0469,0.848
sup,3,sup_3,Nautilus,73,0.0764,0.105,0.727
top,0,top_0,Udyr,14,0.0147,0.0081,1.813
top,0,top_0,Ornn,53,0.0557,0.0385,1.447
