role,,PC1,PC2,PC3,PC4,PC5,PC6
jng,dmg_taken_pm,0.1594516224096013,0.44268191317826844,0.10474173600010586,0.15298290793040661,0.04889446792088736,-0.1285890807309255
jng,kp,0.21034082220419872,-0.015454808390282848,-0.45204386488749343,-0.11490312966932209,-0.11846781352545196,0.6832859281639072
jng,kill_ratio,0.3993174364865607,-0.07884353510327499,-0.04600682419882449,-0.4357438359603242,0.15260423773759368,-0.16493055852228167
jng,wpm,0.03390000652470278,-0.10014614119552555,-0.14419999679320397,0.31709867667569125,0.8131955309312435,0.17486914976046747
jng,wcpm,0.20339152251673115,-0.26616976447849444,-0.39927495692815757,0.45626123290600845,0.06328839963019582,-0.17612191735615806
mid,dpm,0.3497750578019471,-0.0065630489916021,0.37353639645140296,0.306727238135124,0.28010740609041707,-0.30044881745617313
mid,damageshare,0.3362972878253855,0.18054043723678864,0.43547283585483043,0.2815592459290825,-0.10188751447975974,0.0355048390112342
mid,earnedgoldshare,0.4417444299717579,0.24912076945848727,0.024194850634966,-0.21870758691673436,-0.4038960558530852,0.04495189879643698
mid,cspm,0.4576547521802353,-0.036272358329272475,-0.2993101364643885,0.040665953719617204,-0.06005125654774782,0.27261462246731244
mid,jungle_cs_share,0.2969555430863624,-0.020490698228147714,-0.35981590425085785,0.1545371155286583,0.3538042415350161,-0.494540298667473
mid,deaths_pm,-0.28560272400186143,0.5358364116705301,0.06725117708503381,0.04273660868927147,-0.044661774413482326,0.1583757426473148
mid,death_share,-0.1786626291209308,0.43163449687098415,0.0347665055653791,0.4329524657129715,0.2695948643420343,0.04537318810420323
mid,dmg_taken_pm,-0.03121320184693019,0.5215447470919683,-0.017132324328998052,-0.21748975428563866,0.12738034021457545,-0.12929827618046183
mid,kp,0.0124593307819377,-0.11208124756531179,0.6046445488282409,-0.20705853165844698,-0.18322269323189894,-0.1769681675069116
mid,kill_ratio,0.30804186049565596,0.3589860212072072,-0.2182909820463869,-0.10046453893819099,-0.2121922141709266,-0.04488725248991094
mid,wpm,-0.03179821061469911,-0.11922329266102055,-0.09373336970133536,0.6683498137511483,-0.4115198569589647,0.22468435964033903
mid,wcpm,0.24753438358400343,-0.049800414364680565,0.1521106869608247,-0.13053912367111015,0.5295249351859129,0.6781482849691184
bot,dpm,0.3119543247782899,0.35308758608028595,0.28143648632273977,0.287243606762814,0.00498496124189372,-0.13203712922458444
bot,damageshare,0.2262749447437823,0.3328724185224392,0.007949849627672145,0.5007193087227609,-0.26309592034013585,-0.41526784625388513
bot,earnedgoldshare,0.38529126415848075,0.06014624012495366,-0.40689122432056013,-0.03834936712550506,-0.1488627912693152,0.11853761670637021
bot,cspm,0.4126720438371886,-0.053278631217407696,0.00710893626315821,-0.20918255617967124,0.05572368494690719,0.08194335963720577
bot,jungle_cs_share,0.29217571907669165,0.213411197812765,0.17134029680292473,-0.4052944043893745,0.015658858462318626,0.34068299035704136
bot,deaths_pm,-0.36389074202596283,0.295342373160653,-0.19996927803398987,-0.014263021956059621,-0.07708771442087158,0.1744333342971875
bot,death_share,-0.29630815218822376,0.431230407343941,0.11400347309182741,-0.17260141390825579,0.11593615923886212,0.01990829879353448
bot,dmg_taken_pm,-0.1312144028215984,0.5910261221675585,-0.04431689603704505,-0.07882298083413578,-0.24719302363569884,0.2588919841018252
bot,kp,0.16037610770350647,0.08593189170774304,-0.3693390924208552,0.47730741554709843,0.5233163631779575,0.49126441600898113
bot,kill_ratio,0.33467472388643615,0.053277213850778216,-0.3447258457112557,-0.29905660781706267,-0.33574344283914076,-0.08844223143687456
bot,wpm,0.12214461081263195,-0.17346441848774447,0.5628061403212343,0.22831709407986345,-0.3560986211386241,0.525040065008286
bot,wcpm,0.23935483792758966,0.22296473431799801,0.3143489853031771,-0.22734566412748167,0.5580028891510613,-0.22496626232162936
sup,dpm,0.3031446592104671,0.41287402988320293,-0.1562198091175159,0.19084144697011768,-0.12984291636263964,-0.14237118473153235
sup,damageshare,0.1808560791408299,0.48562101053449014,-0.31396527739379093,-0.10266797949291925,-0.285745084192111,0.02047202485871439
sup,earnedgoldshare,0.3988987008764445,0.20185382215823588,0.2438836775380907,0.16185178535330075,0.35632164899256674,-0.213035125077085
sup,cspm,0.36722150954389315,0.08521380508271881,0.28269138995499815,0.048301877897258295,-0.394074032040334,0.44224526346071935
sup,jungle_cs_share,0.03478233716560429,-0.11173253028152555,-0.047405119615571624,0.7084043535305841,0.1344599140619853,0.5611946121056424
sup,deaths_pm,-0.3836111135585525,0.35315793468559653,0.18271103436701025,-0.14048413791813744,-0.13142054219063737,0.11180077274300391
sup,death_share,-0.3468540433194265,0.28109573101928675,0.2548540207205681,0.18470111763037256,0.23579201210015896,-0.06896957792298716
sup,dmg_taken_pm,-0.26818687908136757,0.3423533885865419,0.46317359646459616,0.004579430483781638,0.14816625522203508,0.13741062334034743
sup,kp,0.2569336930587885,-0.2983591184741576,0.3501721673707266,0.06595247716444334,0.13604115133625452,-0.31698652028264673
sup,kill_ratio,0.1540099971327882,0.3217473287929009,-0.3314671241824041,0.028749322480862413,0.5549289931463985,-0.014835138289132748
sup,wpm,-0.14771343982573779,0.07671614933708547,0.04912741628326161,0.5685868627996524,-0.4195401324806859,-0.5352562218004496
sup,wcpm,0.3595415060097651,0.11768899234543706,0.43314210332867,-0.2008344785986822,-0.06214385771658181,0.00833417741774005
