playername,playerid,league,position,teamname,n_games,dpm,damageshare,earnedgoldshare,cspm,jungle_cs_share,deaths_pm,death_share,dmg_taken_pm,kp,kill_ratio,wpm,wcpm,dpm_z,damageshare_z,earnedgoldshare_z,cspm_z,jungle_cs_share_z,deaths_pm_z,death_share_z,dmg_taken_pm_z,kp_z,kill_ratio_z,wpm_z,wcpm_z,cluster,role_cluster,playstyle,pc1,pc2
bat,oe:player:4462a94df8bf2cf755c0c5da35f0282,LPL,bot,FunPlus Phoenix,10,474.93756,0.21930520000000003,0.2453649,8.69332,0.042643923240938165,0.10617258249193295,0.1827956989247312,462.209,0.7216494845360825,0.37142857142857144,0.40738,0.30613999999999997,-3.1616145428230245,-3.383287356781436,-1.3380865892602736,-1.5936217532402508,0.4916187112772109,1.9218373372867965,0.7743880428999281,-0.7431352783269406,0.4639944459725485,-1.20800663954554,-0.08533114872209253,-0.2855334011867374,0,bot_0,Penopang Bersumber Daya Rendah,-4.021318117929395,-1.7442098046407029
Assum,oe:player:da3299cd46f1ad8a86bbadeb6b8a320,LPL,bot,FunPlus Phoenix,64,659.8362046875,0.261011015625,0.253327546875,9.10478125,0.03753614209004544,0.10375319316172137,0.20465116279069767,512.8609609375,0.7230290456431535,0.381635581061693,0.3941078125,0.3206609375,-0.5724340661873865,-0.7627973146020901,-0.5248040497158836,-0.4866947695313738,0.0415207886342244,1.7826301233067496,1.7144424818028483,0.6526718743692622,0.5069834053413294,-0.9980457885245858,-0.3475620891659622,-0.014761022065448128,0,bot_0,Penopang Bersumber Daya Rendah,-2.2831160415697744,1.246136372747632
ScaryJerry,oe:player:265b58ce8b2f418df94006bf24e296c,LTA N,bot,Disguised,20,614.827045,0.25894855,0.25520065000000003,8.878605,0.020298403886190145,0.1142122186495177,0.17370892018779344,518.82513,0.6770186335403726,0.4036697247706422,0.40425000000000005,0.21803,-1.202708223846094,-0.8923876499463524,-0.33349052165884785,-1.095161773894688,-1.4774695375787277,2.3844232208133396,0.38354451107771953,0.8170254291625109,-0.926762244843518,-0.5447977040281522,-0.14717346699775744,-1.9285233475573973,0,bot_0,Penopang Bersumber Daya Rendah,-3.488290141022522,-0.1593570363599018
Tomo,oe:player:6378658dafc3eeb902fa2e52f909172,LTA N,bot,Dignitas,35,669.9227342857142,0.2825373714285714,0.2516450285714286,9.111165714285715,0.024570912375790423,0.08399324760166339,0.1851179673321234,539.6968800000001,0.6791044776119403,0.3626373626373626,0.3636857142857143,0.28500857142857144,-0.4311899507594844,0.5897622788819036,-0.6966517757596729,-0.4695190675803809,-1.1009758823430287,0.6456791847108112,0.8742742195595117,1.3921845621965632,-0.8617645687111364,-1.388844097885491,-0.9486397506296727,-0.6795718156153697,0,bot_0,Penopang Bersumber Daya Rendah,-2.343146218865012,1.0477369271726473
Marvin,oe:player:7db16a4ce881aecec2bfeb3e0c74188,LTA S,bot,Fluxo W7M,30,542.23421,0.2366285333333333,0.24931456666666665,8.977936666666666,0.01738122827346466,0.08651841556636553,0.1680161943319838,474.8124833333333,0.6443661971830986,0.36065573770491804,0.44172666666666666,0.2996,-2.219243263588,-2.2948151181485676,-0.9346786537525856,-0.827936361610765,-1.7345311939973933,0.7909727068439796,0.13868710411393395,-0.3958233113280511,-1.9442556002735947,-1.4296066397244138,0.5932878582134318,-0.40748498726396026,0,bot_0,Penopang Bersumber Daya Rendah,-3.5124552941951452,-2.3072785753457303
Snaker,oe:player:81d2110b25710f286ed9e9b6a8426b0,LTA S,bot,Isurus,37,618.9803459459459,0.23891964864864862,0.25100321621621624,9.129978378378377,0.027518742000365696,0.07931538300981006,0.17086330935251798,430.19166486486483,0.6928104575163399,0.36477987421383645,0.4128243243243243,0.2525918918918919,-1.1445485453854407,-2.150858099701734,-0.7622046993480482,-0.4189086017841026,-0.8412129929140468,0.37652345641351365,0.2611481568527003,-1.6254313348811311,-0.43466800140466516,-1.3447720758057864,0.02223742561043481,-1.2840466603944414,0,bot_0,Penopang Bersumber Daya Rendah,-2.381568768230786,-2.4591424621423195
deokdam,oe:player:18bdb3898e7fecb3bb0be7ff075d509,LCK,bot,KT Rolster,65,697.4475307692308,0.27599161538461536,0.25412318461538463,8.87951846153846,0.029394505201387037,0.07449172445969776,0.17046688382193267,496.3971015384615,0.7308488612836439,0.42209631728045327,0.4367261538461538,0.27829846153846155,-0.045753563170277636,0.17847458975108996,-0.4435398303908998,-1.0927043487410406,-0.6759206487026463,0.09897901180217888,0.24409697084234655,0.19898020508683906,0.7506592636395621,-0.16575788885820442,0.49448808013429413,-0.8046954461736819,1,bot_1,Penyerang Seimbang,-0.9949472503955906,-0.02687735338777208
Hype,oe:player:2452114de900ce4bb971851b668786d,LCK,bot,HANJIN BRION,69,676.3891652173913,0.2639232463768116,0.25924595652173915,9.43273768115942,0.027235107304398036,0.0731042833358559,0.16580844490216273,464.7896623188406,0.7113636363636363,0.46645367412140576,0.39303623188405795,0.34461594202898554,-0.34063895321102555,-0.5798139207687342,0.0796858018529851,0.39558472369240866,-0.8662068960733876,0.019148200365774568,0.04372665558643635,-0.6720204220279717,0.14347373333987248,0.7466845135810982,-0.36873430306663985,0.431928702215415,1,bot_1,Penyerang Seimbang,0.102909069413195,-0.6747138062875904
Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,LCK,bot,Kiwoom DRX,52,675.1479961538462,0.25554578846153847,0.2660793076923077,9.342534615384615,0.04227819049344688,0.07528017810648654,0.1581450653983353,464.2674423076923,0.7607726597325408,0.4296875,0.4457788461538461,0.31487115384615383,-0.3580193440352343,-1.1061924297791246,0.7776252283830147,0.15291738255299825,0.4593903238374773,0.14434518505560703,-0.28589315773579416,-0.6864111467570956,1.6831246318539221,-0.009605279882547451,0.6733505334710277,-0.1227233002964149,1,bot_1,Penyerang Seimbang,0.5767940021843533,-0.8443545686182387
Berserker,oe:player:460ae5a7af8d68f7831b70307210ab3,LCK,bot,DN SOOPers,73,652.7346506849316,0.2642964520547945,0.2666880410958904,9.575208219178082,0.035014066219433024,0.06926251322001561,0.1426131511528608,494.46925205479454,0.7335811648079306,0.41047297297297297,0.385427397260274,0.30723013698630136,-0.6718788458303103,-0.5563643910524796,0.8397995601276,0.7788637880426439,-0.18072465935491752,-0.20190018895284612,-0.9539569893094801,0.1458547969324656,0.8358014763235028,-0.40485311363284593,-0.5190691185653468,-0.265205582452655,1,bot_1,Penyerang Seimbang,0.4653578957680103,-0.7556249771905275
